time,open,high,low,close,change,changePct,tradingVol,tradingValue,consNumber,peg
20220418,1253.24,1268.38,1241.8,1267.03,0.0,0.98,79.54,53.57,0.0,29.08
20220419,1259.16,1263.84,1229.22,1233.98,0.0,-2.61,80.02,51.53,0.0,28.32
20220420,1233.14,1238.76,1206.6,1208.55,0.0,-2.06,70.2,51.48,0.0,27.91
20220421,1209.05,1224.29,1185.57,1187.19,0.0,-1.77,89.46,57.73,0.0,27.23
20220422,1180.91,1189.62,1170.46,1176.31,0.0,-0.92,68.6,45.17,0.0,27.03
20220425,1163.75,1168.82,1113.92,1113.92,0.0,-5.3,98.26,58.07,0.0,25.42
20220426,1114.61,1145.01,1114.61,1117.73,0.0,0.34,87.76,57.05,0.0,25.55
20220427,1104.93,1142.6,1084.8,1142.6,0.0,2.23,99.42,60.55,0.0,26.27
20220428,1130.81,1136.91,1108.99,1130.5,0.0,-1.06,110.72,73.65,0.0,25.41
20220429,1123.98,1179.46,1123.98,1175.94,0.0,4.02,109.19,73.12,0.0,26.74
20220505,1177.41,1208.95,1177.41,1192.52,0.0,1.41,108.13,73.28,0.0,24.58
20220506,1168.22,1218.71,1164.21,1191.34,0.0,-0.1,96.91,63.71,0.0,24.54
20220509,1190.66,1209.98,1188.77,1205.47,14.14,1.19,83.32,58.26,50.0,24.5
20220510,1193.44,1230.93,1191.58,1220.61,15.14,1.26,88.1,63.3,50.0,24.91
20220511,1223.42,1286.16,1222.35,1254.6,33.98,2.78,126.55,81.93,50.0,25.35
20220512,1254.27,1300.05,1253.07,1288.68,34.08,2.72,131.32,91.65,50.0,25.67
20220513,1297.79,1304.77,1281.67,1294.88,6.2,0.48,100.23,69.53,50.0,25.68
20220516,1295.94,1297.86,1260.9,1266.37,-28.52,-2.2,105.6,75.55,50.0,25.33
20220517,1271.39,1274.07,1229.92,1242.48,-23.89,-1.89,107.83,78.37,50.0,25.16
20220518,1237.95,1252.78,1220.87,1222.99,-19.49,-1.57,75.85,56.04,50.0,24.83
20220519,1213.6,1235.1,1205.17,1234.81,11.83,0.97,85.19,56.21,50.0,24.75
20220520,1262.6,1275.66,1238.49,1266.88,32.06,2.6,134.09,99.06,50.0,25.73
20220523,1275.07,1280.8,1262.6,1276.42,9.54,0.75,152.99,100.82,50.0,26.33
20220524,1282.41,1282.41,1185.1,1185.95,-90.47,-7.09,176.29,115.38,50.0,24.96
20220525,1182.59,1203.33,1181.87,1198.66,12.71,1.07,109.52,69.58,50.0,25.12
20220526,1198.96,1201.99,1171.65,1191.23,-7.43,-0.62,103.36,61.31,50.0,24.82
20220527,1197.99,1208.0,1191.06,1203.07,11.84,0.99,89.91,65.67,50.0,25.09
20220530,1200.26,1201.13,1168.87,1191.48,-11.59,-0.96,103.65,68.54,50.0,25.21
20220531,1189.03,1226.3,1179.67,1225.79,34.31,2.88,116.42,72.93,50.0,25.91
20220601,1223.8,1242.14,1212.5,1222.72,-3.07,-0.25,145.3,82.87,50.0,25.01
20220602,1223.66,1244.26,1207.86,1244.15,21.44,1.75,150.74,78.74,50.0,25.21
20220606,1245.42,1289.92,1245.19,1279.21,35.05,2.82,194.29,111.11,50.0,26.04
20220607,1279.68,1298.8,1268.42,1293.1,13.89,1.09,154.71,98.14,50.0,25.97
20220608,1289.44,1320.13,1283.66,1301.55,8.46,0.65,153.73,89.54,50.0,25.83
