time,open,close,high,low,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-11-01,843.8,853.36,855.35,840.06,323157988,857.99,808.68,759.37,86.62,71.38,117.09,2,896.72,718.99
2011-11-02,837.07,881.05,881.05,833.9,401744150,870.36,811.85,753.35,91.08,77.95,117.34,2,905.23,725.81
2011-11-03,885.87,877.66,898.31,877.66,492088850,880.45,816.14,751.84,89.67,81.85,105.29,2,916.18,734.6
2011-11-04,881.62,882.25,887.67,876.44,322527212,889.99,820.7,751.41,88.96,84.22,98.44,2,929.39,745.18
2011-11-07,880.15,878.76,889.34,876.54,240189684,897.31,825.14,752.96,86.57,85.01,89.7,0,941.19,754.65
2011-11-08,878.45,862.36,879.9,861.38,242032688,900.53,828.95,757.36,77.9,82.64,68.44,2,948.35,760.39
2011-11-09,866.91,891.12,891.12,860.75,338809247,908.91,832.69,756.48,82.43,82.57,82.15,2,957.23,767.51
2011-11-10,881.69,895.27,911.73,878.99,512765408,916.75,835.81,754.86,81.45,82.2,79.95,2,966.59,775.02
2011-11-11,893.72,891.19,901.8,885.59,376167656,923.25,838.86,754.46,78.83,81.08,74.35,2,973.01,780.16
2011-11-14,899.11,915.98,917.27,899.11,388531407,933.78,843.04,752.3,85.37,82.51,91.11,2,980.02,785.78
2011-11-15,916.62,920.97,922.81,912.81,368232883,943.9,848.76,753.62,89.26,84.76,98.27,2,987.52,791.8
2011-11-16,921.3,893.51,922.07,888.88,346599149,947.97,853.21,758.45,77.1,82.21,66.9,2,988.91,792.91
2011-11-17,893.79,898.34,911.9,890.82,286250869,949.41,859.18,768.95,71.59,78.67,57.44,2,991.2,794.75
2011-11-18,892.63,869.19,892.75,868.26,290800892,943.29,864.48,785.67,52.26,69.87,17.05,2,989.75,793.59
2011-11-21,866.98,863.13,868.31,849.56,210075948,935.6,869.01,802.43,41.02,60.25,2.55,2,988.02,792.19
2011-11-22,856.2,868.43,868.48,852.04,182110354,930.6,872.54,814.48,35.93,52.14,3.51,2,988.69,792.73
2011-11-23,868.78,864.81,874.3,863.06,186560745,926.22,875.23,824.24,30.89,45.06,2.56,2,985.77,790.39
2011-11-24,856.67,868.14,874.92,852.0,190796655,919.92,878.09,836.25,29.05,39.72,7.71,2,982.76,787.98
2011-11-25,866.99,863.5,874.48,860.63,195816410,916.8,879.59,842.38,25.71,35.05,7.03,2,979.69,785.51
2011-11-28,864.38,866.84,871.28,858.46,199068524,915.95,880.29,844.63,25.08,31.73,11.79,2,974.23,781.14
2011-11-29,872.2,880.31,880.31,866.74,222106411,915.1,881.64,848.18,33.16,32.21,35.08,2,969.72,777.52
2011-11-30,878.68,838.11,878.68,824.95,271169958,917.96,879.49,841.02,28.58,31.0,23.74,2,963.57,772.59
2011-12-01,861.55,852.87,872.34,852.87,276290818,918.44,878.25,838.07,35.86,32.62,42.35,2,958.52,768.54
2011-12-02,849.18,829.18,849.18,825.08,194912712,921.04,875.6,830.16,26.46,30.57,18.24,2,954.08,764.98
2011-12-05,825.6,792.5,826.09,790.3,169229680,929.34,871.29,813.24,18.45,26.53,2.3,2,946.24,758.7
2011-12-06,788.44,798.1,801.93,783.28,147499980,934.29,868.07,801.86,17.39,23.48,5.21,2,938.43,752.44
2011-12-07,797.18,802.63,806.42,794.37,131963050,934.76,863.65,792.54,18.24,21.74,11.26,2,931.53,746.9
2011-12-08,799.49,809.43,819.97,788.62,203447022,932.64,859.36,786.08,21.15,21.54,20.36,2,925.02,741.68
